mention_id,song_id,brand_id,brand_alias,context,char_start,char_end,sentiment,detection_method,mention_count,context_len,gold_label,sent_pos,sent_neg
1,38,5,dior,please how you gon say i aint no lohead cause my dior got me more model head im insulted you should go head and bow so hard til your knees hit your forehead and the flow just hit code red top five,962,966,negative,nlp_regex_ner,1,196,1,0,1
2,38,12,polo,but im doing pretty good as far as geniuses go and im doing pretty hood in my pink polo nigga,902,906,positive,nlp_regex_ner,1,93,2,1,0
3,40,26,coach,yeah this is what they call me dutch haha eagle eagle carter man in a 96 regal contraband on my way to the east to the laundromat got to wash that money and get on my ass gotta flip them bricks it be gone so fast i got to do something i done blown my last dollar holla at your boy on the ave and that cheap perico is what im known to have shit tend to be slow i put on the mask and make it halloween and take all your bags i say holly hollygrove wont you go on and stand up and make these motherfuckers understand i say look coach youre pitchin at me underhand but im a designated hitter i adjust so fast yall men designin women im a womans man im the cash money prince blow the trumpets band and they say they want the drugs to stop but im a major setback when my album drop i got that wet crack flow out your mamis pot i got that jet black four at your mamis spot im tryan get back door,760,765,negative,nlp_regex_ner,1,888,1,0,1
4,62,57,yeezy,yeezy hova yeezy yeezy yeezy hova hold up you either love me or leave me alone you either love me or leave me alone chorus kid cudi jayz,0,5,positive,nlp_regex_ner,4,136,2,1,0
5,83,16,valentino,ayy ayy valentino woowoowoo,58,67,positive,nlp_regex_ner,1,27,1,1,0
6,83,16,valentino,bobby valentino chorus bobby v lil wayne when i get up all in ya,193,202,positive,nlp_regex_ner,1,64,2,1,0
7,91,45,audemars piguet,im wasted bathing ape kicks audemars piguet wrist my womenfriends get tennis bracelets trips to venice get their winters replaced with the sun it aint even fun,419,434,negative,nlp_regex_ner,1,159,1,0,1
8,169,21,nike,and the winner is hov my man speech first of all i wanna thank my connect the most important person with all due respect thanks to the duffle bag the brown paper bag the nike shoe box for holding all this cash boys in blue who put greed before the badge the first pusher who ever made the stash the roc boys in the building tonight,170,174,positive,nlp_regex_ner,1,331,2,1,0
9,215,45,audemars piguet,im all over this ice cream beat like sprinkles why thank you if yous a hater im eating yous a waiter pistol on my hip tomb raider holler at your guala zoom later young tune nigga typhoon nigga and if you think its sweet buy a room nigga damu nigga im on my gang shit she give me good brain like she studied at cambridge lighting up a motherfucking blunt stupidfruity swag like a motherfucking runt and i be with my dog like a motherfucker hunt and every day of the week is the first of the month audemars piguet with the diamonds in the face cant tell the time cause the diamonds in the face we can get it popping like a semiautomatic and if you got beef i put the biscuit on the patty rockstar tatted bigmoney addict running this shit now im feeling athlatic,1745,1760,negative,nlp_regex_ner,1,759,1,0,1
10,272,10,versace,i keep it fresher than the next bitch no need for you to ever sweat the next bitch aha with speed i make the best bitch see the exit indeed you gotta know youre thoroughly respected by me you get the keys to the lexus with no driver what you got your own 96 somethin to ride ride and keep your ass tight up in versace thats why you gotta watch your friends you got to watch me,414,421,positive,nlp_regex_ner,1,376,2,1,0
11,273,36,guess,i gotta bite ya look its out of my hands and you gettin money round here its not in the plans dont hop yo ass out of that van head back to kansas im sendin niggas back up in campuses chance is slimmer than that chick in calvin klein pants is let me guess they said it was money round here and the rest is me stoppin you from gettin it correct sorry to hear that my guess is you got work at the hotel ill take care of that youll soon see now please give me the room key youre twitchin dont do that you makin me nervous my crew,689,694,negative,nlp_regex_ner,1,525,1,0,1
12,273,47,calvin klein,i gotta bite ya look its out of my hands and you gettin money round here its not in the plans dont hop yo ass out of that van head back to kansas im sendin niggas back up in campuses chance is slimmer than that chick in calvin klein pants is let me guess they said it was money round here and the rest is me stoppin you from gettin it correct sorry to hear that my guess is you got work at the hotel ill take care of that youll soon see now please give me the room key youre twitchin dont do that you makin me nervous my crew,544,556,negative,nlp_regex_ner,1,525,1,0,1
13,274,10,versace,i watched him make a few ends to cop his little sneakers and gear then its just enough for reup again i see myself in his eyes i moved from levis to guess to versace now its diamonds like liberace thats just the natural cycle nobody want to be like michael where im from just them niggas who bounced from a gun we out here trying to make hard white into cohhhhld green i can help shorty blow out like afrosheen plus i can relive my days of youth which is gone that little niggas peeps its time to put him on,593,600,positive,nlp_regex_ner,1,507,2,1,0
14,293,3,gucci,the pinnacle of gucci manes work lemonade was the ultimate rappop crossover that poised him for a mainstream breakthrough lemonade samples the song keep it warm by flo eddie,16,21,positive,nlp_regex_ner,1,173,2,1,0
15,293,3,gucci,its gucci whats up baby yellow everything this time you know what im talking about yellow rims yellow big booty yellowbones ha yellow lambs yellow mps yellow watch yellow charm ring chain yellow living room set lemonade gucci shoes for my girl its gucci my phantom sitting on sixes no twenties in my denim your cutlass motor knocking because it is a lemon i like them georgia peaches,183,188,negative,nlp_regex_ner,3,383,1,0,1
16,293,3,gucci,and im selling lemonade six hundred a pint the going rate off in the a lemonade diamond bracelet put it in your face lemonhead diamond earrings i wore yesterday im pimping wearing linen thats just how im chillin im smoking grits and selling chickens corvette painted lemon chorus choir gucci mane lemons on the chain with the vcuts,1060,1065,negative,nlp_regex_ner,1,331,1,0,1
17,356,3,gucci,intro gucci mane soulja boy waka flocka flame its gucci burr soulja boy tellem its gucci flocka scott storch gucci mane we back at it burr so icey we smoking that fire endo wrist out the damn window lambo they scream bingo enzo they scream bingo phantom they scream bingo concept they scream bingo pull up kid scream bingo your ma would scream bingo bingo bingo bingo bingo bingo bingo bingo,6,11,negative,nlp_regex_ner,4,391,1,0,1
18,356,3,gucci,huh its gucci its gucci yoom yoom yoom its gucci scottie catch up burr burr bingo hello my watch yellow earrings on my bezel cant fit in my schedule less booty like jello,400,405,negative,nlp_regex_ner,3,170,1,0,1
19,357,3,gucci,im so motherfuckin turned up right now someone please turn gucci mane down brick squad thugged out we dont give a fuck we hit the club shoot the club tear the club up,59,64,negative,nlp_regex_ner,2,166,1,0,1
20,388,3,gucci,ha ha ha ha wasted im wasted so wasted so wasted take it fatboi rockstar lifestyle might dont make it living life high every day clique wasted sipping on purple stuff rolling up stanky wake up in the morning ten oclock drinking party party party lets all get wasted shake it for me baby girl do it buttnaked im so wasted shes so wasted tell the bartender send me twenty more cases geeking like whitney geeking like britney gucci no hippie,423,428,negative,nlp_regex_ner,1,438,1,0,1
21,388,3,gucci,im a drinkie drinking gucci mane shake it club life damn right gucci mane wasted,811,816,negative,nlp_regex_ner,2,80,1,0,1
