mention_id,song_id,brand_id,brand_alias,context,char_start,char_end,sentiment,detection_method
1,55026,2,louis vuitton,gimme that 94 puff shit ali uh im so appalled louis vuitton draws the shit a booth for me is a bathroom,46,59,,regex
2,55026,36,guess,some labels they passed up now the industry crashin i guess they got bad luck your bad you dont write neither,2070,2075,,regex
3,7995423,36,guess,paul masson with her hat turned backwards motorola pager offwhite guess jacket blue air maxs gold chains and curl kits 93,339,344,,regex
4,2285167,59,maybach,it to her out of courtesy curtains close on that maybach lay back as i hop on my underground shit like,501,508,,regex
5,90481,26,coach,we didnt have dug inside of his book bag and coach palmer asked for his finals he had his back like,1268,1273,,regex
6,127989,36,guess,burn whats god willing when hova retired now he back guess he got some competition on his hands who is that,220,225,,regex
7,64213,36,guess,a bucket effect we learn to live with it i guess i mean die with it since were already dead trying,2751,2756,,regex
8,10341021,52,tommy hilfiger,you a scam artist with the hopes of being accpted tommy hilfiger stood out but fubu never had been your collection i,513,527,,regex
9,107356,24,rolex,hoes in high school with the cornrows size 5 jordans rolex sporting and wanna fight everybody she knows well shes important,1035,1040,,regex
10,90477,21,nike,bang step on my neck and get blood on your nike checks i dont mind cause one day youll respect the,991,995,,regex
11,492836,10,versace,coast vengeance east coast revenue something new like pac in versace lenses big in the khaki suit best of both worlds,1121,1128,,regex
12,9965355,1,chanel,from the button and chanel ss 2024 fashion show im up and down im unenthused,20,26,,regex
13,522218,58,marc jacobs,my darth vader youll see the light saber dropping jewels marc jacobs you know,730,741,,regex
14,11647538,1,chanel,xart qeybt etmyi v znginms nadirm adl tz mntiqi xart chanel dolce gabbanan v birkin antav xart o btn saxta brend,716,722,,regex
15,11647538,6,birkin,znginms nadirm adl tz mntiqi xart chanel dolce gabbanan v birkin antav xart o btn saxta brend geyimlri xart grk geriy,740,746,,regex
16,264166,36,guess,them took it in that spirit not drake yeah i guess he took it as a dis kendrick said downplaying talk,7198,7203,,regex
17,264166,36,guess,them took it in that spirit not drake yeah i guess he took it as a dis kendrick said downplaying talk,11818,11823,,regex
18,499113,10,versace,i style proper i gotta be laced in linen thats versace polo fleeces my bitches in vicky secrets dom perignon to,395,402,,regex
19,3047140,21,nike,up right now i need everybodys motherfuckin door and his nike air rattles rush the fire exit no time for battles,509,513,,regex
20,90478,36,guess,a chopper and have a doctor on speed dial i guess maad city,2072,2077,,regex
21,7995415,1,chanel,logic that if im rich im rare take off the chanel take off the dolce take off the birkin bag take,859,865,,regex
